Batch_size,learning_rate,keep_prob_rate,loss,accuracy
16,0.001,0.5,1.500938057899475,0.9601999521255493
16,0.001,0.6,1.5195399522781372,0.94159996509552
16,0.001,0.7,1.6100858449935913,0.8509999513626099
16,0.001,0.8,1.537736415863037,0.9233999848365784
16,0.0001,0.5,1.4690337181091309,0.9917999505996704
16,0.0001,0.6,1.4691011905670166,0.9921999573707581
16,0.0001,0.7,1.4687095880508423,0.9921999573707581
16,0.0001,0.8,1.4676369428634644,0.9935999512672424
16,1e-05,0.5,1.4727766513824463,0.9893999695777893
16,1e-05,0.6,1.4725406169891357,0.9898999929428101
16,1e-05,0.7,1.472124695777893,0.9905999898910522
16,1e-05,0.8,1.4721671342849731,0.9896000027656555
16,1e-06,0.5,1.523931622505188,0.9465000033378601
16,1e-06,0.6,1.5135782957077026,0.9563999772071838
16,1e-06,0.7,1.513503909111023,0.9559999704360962
16,1e-06,0.8,1.509407877922058,0.9596999883651733
32,0.001,0.5,1.4829498529434204,0.9766373634338379
32,0.001,0.6,1.5116933584213257,0.9478833675384521
32,0.001,0.7,1.4892985820770264,0.9702475666999817
32,0.001,0.8,1.4945976734161377,0.9649560451507568
32,0.0001,0.5,1.4675501585006714,0.9922124147415161
32,0.0001,0.6,1.4680980443954468,0.9914137125015259
32,0.0001,0.7,1.4681951999664307,0.9914137125015259
32,0.0001,0.8,1.4688066244125366,0.9905151724815369
32,1e-05,0.5,1.4748419523239136,0.986122190952301
32,1e-05,0.6,1.474129319190979,0.9864217042922974
32,1e-05,0.7,1.4738095998764038,0.9871205687522888
32,1e-05,0.8,1.4757784605026245,0.9855231642723083
32,1e-06,0.5,1.5319429636001587,0.9394968152046204
32,1e-06,0.6,1.5243626832962036,0.9469848275184631
32,1e-06,0.7,1.5316483974456787,0.9385982155799866
32,1e-06,0.8,1.523763656616211,0.9473841786384583
64,0.001,0.5,1.4773808717727661,0.9790008068084717
64,0.001,0.6,1.4853566884994507,0.9710390567779541
64,0.001,0.7,1.4830195903778076,0.9733280539512634
64,0.001,0.8,1.4817534685134888,0.9746218323707581
64,0.0001,0.5,1.468611717224121,0.9877587556838989
64,0.0001,0.6,1.4683781862258911,0.9884554147720337
64,0.0001,0.7,1.4683847427368164,0.9880573153495789
64,0.0001,0.8,1.468002200126648,0.9887539744377136
64,1e-05,0.5,1.4784330129623413,0.9804936647415161
64,1e-05,0.6,1.4773155450820923,0.9809912443161011
64,1e-05,0.7,1.477251410484314,0.9811903238296509
64,1e-05,0.8,1.4775912761688232,0.980792224407196
64,1e-06,0.5,1.5590113401412964,0.921675980091095
64,1e-06,0.6,1.5576395988464355,0.9222730994224548
64,1e-06,0.7,1.5595571994781494,0.9170979261398315
64,1e-06,0.8,1.5481377840042114,0.9277468323707581
128,0.001,0.5,1.4742904901504517,0.9757713675498962
128,0.001,0.6,1.47773277759552,0.972804605960846
128,0.001,0.7,1.4801942110061646,0.9704312086105347
128,0.001,0.8,1.4753676652908325,0.9746835827827454
128,0.0001,0.5,1.4685266017913818,0.9816060662269592
128,0.0001,0.6,1.4690358638763428,0.9815071225166321
128,0.0001,0.7,1.4687336683273315,0.9817049503326416
128,0.0001,0.8,1.4698973894119263,0.9803204536437988
128,1e-05,0.5,1.4849809408187866,0.9690467119216919
128,1e-05,0.6,1.4828622341156006,0.970530092716217
128,1e-05,0.7,1.4827463626861572,0.9701344966888428
128,1e-05,0.8,1.4810571670532227,0.9727057218551636
128,1e-06,0.5,1.5958935022354126,0.8982397317886353
128,1e-06,0.6,1.596305012702942,0.8955696225166321
128,1e-06,0.7,1.57841157913208,0.9075356125831604
128,1e-06,0.8,1.5960911512374878,0.8991297483444214
256,0.001,0.5,1.4733514785766602,0.9644531607627869
256,0.001,0.6,1.4708096981048584,0.9668945670127869
256,0.001,0.7,1.4703662395477295,0.9673828482627869
256,0.001,0.8,1.4704886674880981,0.9671875238418579
256,0.0001,0.5,1.4703253507614136,0.967968761920929
256,0.0001,0.6,1.469583511352539,0.968945324420929
256,0.0001,0.7,1.4693692922592163,0.96875
256,0.0001,0.8,1.4708588123321533,0.9673828482627869
256,1e-05,0.5,1.4938842058181763,0.9493164420127869
256,1e-05,0.6,1.4931424856185913,0.9488281607627869
256,1e-05,0.7,1.4893183708190918,0.952832043170929
256,1e-05,0.8,1.4912716150283813,0.9507812857627869
256,1e-06,0.5,1.7335655689239502,0.786425769329071
256,1e-06,0.6,1.7105991840362549,0.8033203482627869
256,1e-06,0.7,1.6973848342895508,0.8115234375
256,1e-06,0.8,1.7053442001342773,0.8016601800918579
512,0.001,0.5,1.4679198265075684,0.9698242545127869
512,0.001,0.6,1.4718574285507202,0.9659180045127869
512,0.001,0.7,1.471274733543396,0.9666992425918579
512,0.001,0.8,1.467896819114685,0.97021484375
512,0.0001,0.5,1.471339464187622,0.9677734375
512,0.0001,0.6,1.4712374210357666,0.967578113079071
512,0.0001,0.7,1.4712666273117065,0.967968761920929
512,0.0001,0.8,1.4715815782546997,0.9673828482627869
512,1e-05,0.5,1.508848786354065,0.9374023675918579
512,1e-05,0.6,1.5096704959869385,0.9380859732627869
512,1e-05,0.7,1.5043550729751587,0.94140625
512,1e-05,0.8,1.503828525543213,0.942578136920929
512,1e-06,0.5,1.8864954710006714,0.6834961175918579
512,1e-06,0.6,1.8388303518295288,0.734375
512,1e-06,0.7,1.8662258386611938,0.6880859732627869
512,1e-06,0.8,1.859222412109375,0.6952148675918579
